"Dominio";"Base";"Atual";"Novo"
"contratos";"data\gold\portal_transparencia\contratos\periodos=202501_202606\dimensions";"dim_contratado";"contratos_dim_contratado"
"contratos";"data\gold\portal_transparencia\contratos\periodos=202501_202606\dimensions";"dim_modalidade_compra";"contratos_dim_modalidade_compra"
"contratos";"data\gold\portal_transparencia\contratos\periodos=202501_202606\dimensions";"dim_orgao";"contratos_dim_orgao"
"contratos";"data\gold\portal_transparencia\contratos\periodos=202501_202606\dimensions";"dim_situacao_contrato";"contratos_dim_situacao_contrato"
"contratos";"data\gold\portal_transparencia\contratos\periodos=202501_202606\dimensions";"dim_tempo";"contratos_dim_tempo"
"contratos";"data\gold\portal_transparencia\contratos\periodos=202501_202606\dimensions";"dim_unidade_gestora";"contratos_dim_unidade_gestora"
"convenios";"data\gold\portal_transparencia\convenios\anos=2025_2026\dimensions";"dim_convenente";"convenios_dim_convenente"
"convenios";"data\gold\portal_transparencia\convenios\anos=2025_2026\dimensions";"dim_emenda";"convenios_dim_emenda"
"convenios";"data\gold\portal_transparencia\convenios\anos=2025_2026\dimensions";"dim_funcao";"convenios_dim_funcao"
"convenios";"data\gold\portal_transparencia\convenios\anos=2025_2026\dimensions";"dim_localidade";"convenios_dim_localidade"
"convenios";"data\gold\portal_transparencia\convenios\anos=2025_2026\dimensions";"dim_subfuncao";"convenios_dim_subfuncao"
"convenios";"data\gold\portal_transparencia\convenios\anos=2025_2026\dimensions";"dim_tempo";"convenios_dim_tempo"
"convenios";"data\gold\portal_transparencia\convenios\anos=2025_2026\dimensions";"dim_tipo_emenda";"convenios_dim_tipo_emenda"
"emendas";"data\gold\portal_transparencia\emendas\anos=2025_2026\dimensions";"dim_ano";"emendas_dim_ano"
"emendas";"data\gold\portal_transparencia\emendas\anos=2025_2026\dimensions";"dim_autor";"emendas_dim_autor"
"emendas";"data\gold\portal_transparencia\emendas\anos=2025_2026\dimensions";"dim_favorecido";"emendas_dim_favorecido"
"emendas";"data\gold\portal_transparencia\emendas\anos=2025_2026\dimensions";"dim_funcao";"emendas_dim_funcao"
"emendas";"data\gold\portal_transparencia\emendas\anos=2025_2026\dimensions";"dim_municipio";"emendas_dim_municipio"
"emendas";"data\gold\portal_transparencia\emendas\anos=2025_2026\dimensions";"dim_uf";"emendas_dim_uf"
"gastos_deputados";"data\gold\camara_deputados\gastos_deputados\anos=2025_2026\dimensions";"dim_beneficiario";"gastos_deputados_dim_beneficiario"
"gastos_deputados";"data\gold\camara_deputados\gastos_deputados\anos=2025_2026\dimensions";"dim_fornecedor";"gastos_deputados_dim_fornecedor"
"gastos_deputados";"data\gold\camara_deputados\gastos_deputados\anos=2025_2026\dimensions";"dim_movimento";"gastos_deputados_dim_movimento"
"gastos_deputados";"data\gold\camara_deputados\gastos_deputados\anos=2025_2026\dimensions";"dim_partido";"gastos_deputados_dim_partido"
"gastos_deputados";"data\gold\camara_deputados\gastos_deputados\anos=2025_2026\dimensions";"dim_tempo";"gastos_deputados_dim_tempo"
"gastos_deputados";"data\gold\camara_deputados\gastos_deputados\anos=2025_2026\dimensions";"dim_tipo_despesa";"gastos_deputados_dim_tipo_despesa"
"gastos_deputados";"data\gold\camara_deputados\gastos_deputados\anos=2025_2026\dimensions";"dim_uf";"gastos_deputados_dim_uf"
"licitacoes";"data\gold\portal_transparencia\licitacoes\periodos=202301_202404\dimensions";"dim_fornecedor";"licitacoes_dim_fornecedor"
"licitacoes";"data\gold\portal_transparencia\licitacoes\periodos=202301_202404\dimensions";"dim_localidade";"licitacoes_dim_localidade"
"licitacoes";"data\gold\portal_transparencia\licitacoes\periodos=202301_202404\dimensions";"dim_modalidade_compra";"licitacoes_dim_modalidade_compra"
"licitacoes";"data\gold\portal_transparencia\licitacoes\periodos=202301_202404\dimensions";"dim_orgao";"licitacoes_dim_orgao"
"licitacoes";"data\gold\portal_transparencia\licitacoes\periodos=202301_202404\dimensions";"dim_situacao_licitacao";"licitacoes_dim_situacao_licitacao"
"licitacoes";"data\gold\portal_transparencia\licitacoes\periodos=202301_202404\dimensions";"dim_tempo";"licitacoes_dim_tempo"
"licitacoes";"data\gold\portal_transparencia\licitacoes\periodos=202301_202404\dimensions";"dim_unidade_gestora";"licitacoes_dim_unidade_gestora"
