domain;category;dataset;power_bi_table;parquet_file;csv_file;parquet_ok;csv_ok
senado_federal;gold;fato_materias;senado_fato_materias;output\power_bi\senado_federal\senado_fato_materias.parquet;output\power_bi\senado_federal\senado_fato_materias.csv;True;True
senado_federal;gold;fato_votacoes;senado_fato_votacoes;output\power_bi\senado_federal\senado_fato_votacoes.parquet;output\power_bi\senado_federal\senado_fato_votacoes.csv;True;True
senado_federal;gold;fato_votos;senado_fato_votos;output\power_bi\senado_federal\senado_fato_votos.parquet;output\power_bi\senado_federal\senado_fato_votos.csv;True;True
senado_federal;gold;fato_gastos_senadores;senado_fato_gastos_senadores;output\power_bi\senado_federal\senado_fato_gastos_senadores.parquet;output\power_bi\senado_federal\senado_fato_gastos_senadores.csv;True;True
senado_federal;gold;dim_senadores_base;senado_dim_senadores_base;output\power_bi\senado_federal\senado_dim_senadores_base.parquet;output\power_bi\senado_federal\senado_dim_senadores_base.csv;True;True
senado_federal;gold;dim_empresas_contratadas_base;senado_dim_empresas_contratadas_base;output\power_bi\senado_federal\senado_dim_empresas_contratadas_base.parquet;output\power_bi\senado_federal\senado_dim_empresas_contratadas_base.csv;True;True
senado_federal;gold;ranking_senadores_gastos;senado_ranking_senadores_gastos;output\power_bi\senado_federal\senado_ranking_senadores_gastos.parquet;output\power_bi\senado_federal\senado_ranking_senadores_gastos.csv;True;True
senado_federal;gold;ranking_fornecedores_ceaps;senado_ranking_fornecedores_ceaps;output\power_bi\senado_federal\senado_ranking_fornecedores_ceaps.parquet;output\power_bi\senado_federal\senado_ranking_fornecedores_ceaps.csv;True;True
senado_federal;gold;ranking_tipos_despesa_ceaps;senado_ranking_tipos_despesa_ceaps;output\power_bi\senado_federal\senado_ranking_tipos_despesa_ceaps.parquet;output\power_bi\senado_federal\senado_ranking_tipos_despesa_ceaps.csv;True;True
senado_federal;gold;ranking_senadores_votos;senado_ranking_senadores_votos;output\power_bi\senado_federal\senado_ranking_senadores_votos.parquet;output\power_bi\senado_federal\senado_ranking_senadores_votos.csv;True;True
senado_federal;gold;ranking_partidos_votos;senado_ranking_partidos_votos;output\power_bi\senado_federal\senado_ranking_partidos_votos.parquet;output\power_bi\senado_federal\senado_ranking_partidos_votos.csv;True;True
senado_federal;gold;resumo_gastos_mensal;senado_resumo_gastos_mensal;output\power_bi\senado_federal\senado_resumo_gastos_mensal.parquet;output\power_bi\senado_federal\senado_resumo_gastos_mensal.csv;True;True
senado_federal;gold;resumo_atividade_mensal;senado_resumo_atividade_mensal;output\power_bi\senado_federal\senado_resumo_atividade_mensal.parquet;output\power_bi\senado_federal\senado_resumo_atividade_mensal.csv;True;True
senado_federal;dimension;dim_senador;senado_dim_senador;output\power_bi\senado_federal\senado_dim_senador.parquet;output\power_bi\senado_federal\senado_dim_senador.csv;True;True
senado_federal;dimension;dim_materia;senado_dim_materia;output\power_bi\senado_federal\senado_dim_materia.parquet;output\power_bi\senado_federal\senado_dim_materia.csv;True;True
senado_federal;dimension;dim_partido;senado_dim_partido;output\power_bi\senado_federal\senado_dim_partido.parquet;output\power_bi\senado_federal\senado_dim_partido.csv;True;True
senado_federal;dimension;dim_uf;senado_dim_uf;output\power_bi\senado_federal\senado_dim_uf.parquet;output\power_bi\senado_federal\senado_dim_uf.csv;True;True
senado_federal;dimension;dim_tipo_materia;senado_dim_tipo_materia;output\power_bi\senado_federal\senado_dim_tipo_materia.parquet;output\power_bi\senado_federal\senado_dim_tipo_materia.csv;True;True
senado_federal;dimension;dim_tipo_voto;senado_dim_tipo_voto;output\power_bi\senado_federal\senado_dim_tipo_voto.parquet;output\power_bi\senado_federal\senado_dim_tipo_voto.csv;True;True
senado_federal;dimension;dim_resultado_votacao;senado_dim_resultado_votacao;output\power_bi\senado_federal\senado_dim_resultado_votacao.parquet;output\power_bi\senado_federal\senado_dim_resultado_votacao.csv;True;True
senado_federal;dimension;dim_tipo_despesa;senado_dim_tipo_despesa;output\power_bi\senado_federal\senado_dim_tipo_despesa.parquet;output\power_bi\senado_federal\senado_dim_tipo_despesa.csv;True;True
senado_federal;dimension;dim_fornecedor;senado_dim_fornecedor;output\power_bi\senado_federal\senado_dim_fornecedor.parquet;output\power_bi\senado_federal\senado_dim_fornecedor.csv;True;True
senado_federal;dimension;dim_tempo;senado_dim_tempo;output\power_bi\senado_federal\senado_dim_tempo.parquet;output\power_bi\senado_federal\senado_dim_tempo.csv;True;True
